transaction_id,data_hora,commodity_code,quantidade,tipo_operacao,unidade,moeda,cliente_id,canal,mercado,arquivo_origem,importado_em
COM-00000027,2025-08-25 09:42:00+00:00,SILVER,45.0,VENDA,oz,USD,C004,RETAIL,BR,commodities_operacional.sql,2025-08-22 21:06:38.073340+00:00
COM-00000028,2025-08-25 13:07:00+00:00,GOLD,16.0,COMPRA,oz,USD,C008,DISTRIB,US,commodities_operacional.sql,2025-08-22 21:06:38.073340+00:00
COM-00000029,2025-08-25 12:45:00+00:00,SILVER,31.0,COMPRA,oz,USD,C003,RETAIL,EU,commodities_operacional.sql,2025-08-22 21:06:38.075431+00:00
COM-00000030,2025-08-25 17:31:00+00:00,OIL,26.0,COMPRA,bbl,USD,C001,ONLINE,EU,commodities_operacional.sql,2025-08-22 21:06:38.075431+00:00
COM-00000031,2025-08-25 13:02:00+00:00,OIL,10.0,VENDA,bbl,USD,C006,ONLINE,EU,commodities_operacional.sql,2025-08-22 21:06:38.075431+00:00
COM-00000032,2025-08-25 11:47:00+00:00,OIL,38.0,VENDA,bbl,USD,C009,RETAIL,BR,commodities_operacional.sql,2025-08-22 21:06:38.077445+00:00
COM-00000033,2025-08-25 10:56:00+00:00,GOLD,19.0,COMPRA,oz,USD,C006,DISTRIB,EU,commodities_operacional.sql,2025-08-22 21:06:38.077445+00:00
COM-00000034,2025-08-25 11:27:00+00:00,SILVER,18.0,COMPRA,oz,USD,C007,DISTRIB,US,commodities_operacional.sql,2025-08-22 21:06:38.077445+00:00
COM-00000035,2025-08-25 14:13:00+00:00,GOLD,25.0,COMPRA,oz,USD,C008,DISTRIB,EU,commodities_operacional.sql,2025-08-22 21:06:38.077445+00:00
COM-00000036,2025-08-25 18:47:00+00:00,OIL,19.0,COMPRA,bbl,USD,C003,ONLINE,BR,commodities_operacional.sql,2025-08-22 21:06:38.079200+00:00
COM-00000037,2025-08-25 09:11:00+00:00,OIL,31.0,VENDA,bbl,USD,C005,RETAIL,EU,commodities_operacional.sql,2025-08-22 21:06:38.079200+00:00
COM-00000038,2025-08-25 13:10:00+00:00,GOLD,16.0,VENDA,oz,USD,C002,ONLINE,US,commodities_operacional.sql,2025-08-22 21:06:38.081209+00:00
COM-00000039,2025-08-25 12:52:00+00:00,GOLD,39.0,VENDA,oz,USD,C004,DISTRIB,BR,commodities_operacional.sql,2025-08-22 21:06:38.081209+00:00
COM-00000040,2025-08-25 09:42:00+00:00,GOLD,22.0,VENDA,oz,USD,C002,DISTRIB,US,commodities_operacional.sql,2025-08-22 21:06:38.081209+00:00
COM-00000041,2025-08-25 13:22:00+00:00,GOLD,42.0,VENDA,oz,USD,C005,RETAIL,EU,commodities_operacional.sql,2025-08-22 21:06:38.083297+00:00
COM-00000042,2025-08-25 09:07:00+00:00,OIL,26.0,COMPRA,bbl,USD,C009,RETAIL,US,commodities_operacional.sql,2025-08-22 21:06:38.083297+00:00
COM-00000043,2025-08-25 10:38:00+00:00,GOLD,37.0,VENDA,oz,USD,C003,RETAIL,US,commodities_operacional.sql,2025-08-22 21:06:38.083297+00:00
COM-00000044,2025-08-25 18:32:00+00:00,OIL,17.0,VENDA,bbl,USD,C004,RETAIL,BR,commodities_operacional.sql,2025-08-22 21:06:38.083297+00:00
COM-00000045,2025-08-25 09:45:00+00:00,OIL,37.0,COMPRA,bbl,USD,C003,RETAIL,EU,commodities_operacional.sql,2025-08-22 21:06:38.083297+00:00
COM-00000046,2025-08-25 20:47:00+00:00,SILVER,22.0,VENDA,oz,USD,C009,DISTRIB,BR,commodities_operacional.sql,2025-08-22 21:06:38.085309+00:00
